Reference, Value, Footprint, Datasheet, Manufacturer, Manufacturer Part Number, Vendor, Vendor Part Number
"U1","LTC4054ES5-4.2","Package_TO_SOT_SMD:TSOT-23-5","http://cds.linear.com/docs/en/datasheet/405442xf.pdf","Linear Technology/Analog Devices","LTC4054ES5-4.2#TRMPBF","Digi-Key","LTC4054ES5-4.2#TRMPBFCT-ND"
"J7","Conn_01x05_Shielded","Connector_USB:USB_Micro-B_Molex-105017-0001","~","Molex, LLC","1050170001","Digi-Key","WM1399CT-ND"
"D2","BAT120C,115","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://assets.nexperia.com/documents/data-sheet/BAT120_SERIES.pdf","Nexperia USA Inc.","BAT120C,115","Digi-Key","1727-5450-1-ND"
"BT1","3.7 V Li-Ion 16340","KiCad:BHC-CR123A","http://shogyo.com/wp-content/themes/shogyo/pdf/bhc-cr123a(revised).pdf","Shogyo International Corp.","BHC-CR123A","",""
"R3","1k27","Resistor_SMD:R_0402_1005Metric","~","Panasonic Electronic Components","ERJ-2RKF1271X","Digi-Key","P1.27KLCT-ND"
"C2","1u","Capacitor_SMD:C_0402_1005Metric","~","TDK Corporation","CGB2A1X5R1C105K033BC","Digi-Key","445-13181-1-ND"
"D3","LED, Green","LED_SMD:LED_0402_1005Metric","~","Wurth Electronics Inc.","150040VS73240","Digi-Key","732-11992-1-ND"
"D1","LED, Yellow","LED_SMD:LED_0402_1005Metric","~","Wurth Electronics Inc.","150040YS73240","Digi-Key","732-11993-1-ND"
"R6","1k","Resistor_SMD:R_0402_1005Metric","~","Samsung Electro-Mechanics","RC1005F102CS","Digi-Key","1276-3430-1-ND"
"R2","1k","Resistor_SMD:R_0402_1005Metric","~","Samsung Electro-Mechanics","RC1005F102CS","Digi-Key","1276-3430-1-ND"
"U2","LD39200D","Package_DFN_QFN:DFN-8-1EP_4x4mm_P0.8mm_EP2.5x3.6mm","https://www.st.com/content/ccc/resource/technical/document/datasheet/4b/e6/2e/a4/16/04/46/9d/DM00102135.pdf/files/DM00102135.pdf/jcr:content/translations/en.DM00102135.pdf","STMicroelectronics","LD39200DPUR","Digi-Key","497-14961-1-ND"
"R5","1k","Resistor_SMD:R_0402_1005Metric","~","Samsung Electro-Mechanics","RC1005F102CS","Digi-Key","1276-3430-1-ND"
"R4","5k6","Resistor_SMD:R_0402_1005Metric","~","Yageo","RC0402JR-075K6L","Digi-Key","311-5.6KJRCT-ND"
"C1","10u","Capacitor_SMD:C_0603_1608Metric","~","Samsung Electro-Mechanics","CL10X106MQ8NNNC","Digi-Key","1276-6827-1-ND"
"C3","470n","Capacitor_SMD:C_0402_1005Metric","~","Samsung Electro-Mechanics","CL05F474ZQ5NNNC","Digi-Key","1276-1752-1-ND"
"C4","10u","Capacitor_SMD:C_0603_1608Metric","~","Samsung Electro-Mechanics","CL10X106MQ8NNNC","Digi-Key","1276-6827-1-ND"
"R1","100k","Resistor_SMD:R_0402_1005Metric","~","Samsung Electro-Mechanics","RC1005F103CS","Digi-Key","1276-3431-1-ND"
"J3","+3V3","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","~"
"J5","+3V3","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","~"
"J4","GND","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~"
"J6","GND","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~"
"J1","+5Vin","TestPoint:TestPoint_THTPad_2.0x2.0mm_Drill1.0mm","~"
"J2","GND","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~"
"SW1","SW_SPDT","Button_Switch_SMD:SW_SPDT_CK-JS102011SAQ","https://www.ckswitches.com/media/1422/js.pdf","C&K","JS102011SAQN","Digi-Key","401-1999-1-ND"
